time,filename,pathname,exception name,exception data,error report filename
"Sun Apr 24 19:20:55 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.SyntaxError","duplicate argument 'blastType' in function definition (LapBlast.py, line 9)","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-19-20-55-89117.html"
"Sun Apr 24 19:22:22 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.TypeError","__init__() takes exactly 2 arguments (3 given)","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-24-19-22-22-27279.html"
"Sun Apr 24 20:56:57 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.TypeError","cannot concatenate 'str' and 'instance' objects","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-20-56-57-33913.html"
"Sun Apr 24 20:57:28 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.TypeError","can't pickle file objects","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-20-57-28-76906.html"
"Sun Apr 24 21:06:28 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.TypeError","cannot concatenate 'str' and 'instance' objects","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-21-06-28-46966.html"
"Sun Apr 24 21:42:37 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.TypeError","can't pickle file objects","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-21-42-37-56871.html"
"Sun Apr 24 21:48:10 2005","ManageJobPage.py","/opt/gridportal/context/ManageJobPage.py","exceptions.EOFError","","/opt/webware/WebKit/ErrorMsgs/Error-ManageJobPage.py-2005-04-24-21-48-10-69450.html"
"Sun Apr 24 21:48:25 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.IOError","[Errno 2] No such file or directory: '/var/webware/NorduGrid/ntnu.no/Martin_Matusiak/job_blastpJob/job.task'","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-21-48-25-53945.html"
"Sun Apr 24 21:55:11 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.TypeError","can't pickle file objects","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-21-55-11-36988.html"
"Sun Apr 24 22:16:30 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.NameError","global name 'key' is not defined","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-22-16-30-97986.html"
"Sun Apr 24 22:16:55 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.TypeError","can't pickle file objects","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-22-16-55-66515.html"
"Sun Apr 24 22:57:58 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.TypeError","can't pickle file objects","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-22-57-58-33906.html"
"Sun Apr 24 23:00:09 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.KeyError","prevFile","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-23-00-09-20493.html"
"Sun Apr 24 23:16:44 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.UnboundLocalError","local variable 'bp' referenced before assignment","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-23-16-44-90365.html"
"Sun Apr 24 23:17:12 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.KeyError","inputFile","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-23-17-12-52507.html"
"Sun Apr 24 23:28:32 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.KeyError","giInputFile","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-24-23-28-32-29194.html"
"Mon Apr 25 07:57:42 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.UnboundLocalError","local variable 'html' referenced before assignment","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-25-07-57-42-70833.html"
"Mon Apr 25 09:43:54 2005","blastpJobPage.py","/opt/gridportal/context/blastpJobPage.py","exceptions.NameError","global name 'blastp' is not defined","/opt/webware/WebKit/ErrorMsgs/Error-blastpJobPage.py-2005-04-25-09-43-54-46043.html"
"Mon Apr 25 10:05:54 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.UnboundLocalError","local variable 'html' referenced before assignment","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-25-10-05-54-97686.html"
"Mon Apr 25 11:15:45 2005","BlastJobPageblastp.py","/opt/gridportal/context/BlastJobPageblastp.py","exceptions.UnboundLocalError","local variable 'html' referenced before assignment","/opt/webware/WebKit/ErrorMsgs/Error-BlastJobPageblastp.py-2005-04-25-11-15-45-20988.html"
"Mon Apr 25 13:04:35 2005","ShowUserPage.py","/opt/gridportal/context/ShowUserPage.py","exceptions.NameError","global name 'tableHeader' is not defined","/opt/webware/WebKit/ErrorMsgs/Error-ShowUserPage.py-2005-04-25-13-04-35-99491.html"
"Mon Apr 25 13:05:32 2005","ShowUserPage.py","/opt/gridportal/context/ShowUserPage.py","exceptions.NameError","global name 'tableHeader' is not defined","/opt/webware/WebKit/ErrorMsgs/Error-ShowUserPage.py-2005-04-25-13-05-32-65047.html"
"Mon Apr 25 13:05:44 2005","ShowUserPage.py","/opt/gridportal/context/ShowUserPage.py","exceptions.AttributeError","Table instance has no attribute 'caption'","/opt/webware/WebKit/ErrorMsgs/Error-ShowUserPage.py-2005-04-25-13-05-44-66304.html"
"Mon Apr 25 13:12:54 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.IndexError","list assignment index out of range","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-25-13-12-54-68216.html"
"Mon Apr 25 13:13:52 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.IndexError","list assignment index out of range","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-25-13-13-52-36036.html"
"Mon Apr 25 13:20:58 2005","JobStatus.py","/opt/gridportal/context/JobStatus.py","exceptions.IndexError","list assignment index out of range","/opt/webware/WebKit/ErrorMsgs/Error-JobStatus.py-2005-04-25-13-20-58-65606.html"
